Date,Team_base,Time,Opponent,Rank_base,Site,TV,Result,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,Year,Month,Day,__key,Rank_cfn,Team_cfn,FiveYearAvgAttendance,FiveYearCapacityPct,2022AvgAttendance,2022CapacityPct,FiveYearCapacityPct_f,2022CapacityPct_f,AutoCapacity,AutoFillRate,Team
9/2/2000,Arkansas,8:00 PM,Southwest Missouri State*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 380,53946,0,0,53727,1.004076163,False,False,0.0,0.0,0.0,105,65,NR,SEC,2000,9,2,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/16/2000,Arkansas,6:00 PM,Boise State*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 3831,54286,1,0,53727,1.010404452,False,False,0.0,0.0,0.0,79,44,NR,SEC,2000,9,16,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/23/2000,Arkansas,8:00 PM,Alabama,NR,"Razorback StadiumFayetteville, AR",ESPN2,W 2821,51482,2,0,50019,1.029248885,False,False,2.12,0.0,0.0,85,63,NR,SEC,2000,9,23,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/30/2000,Arkansas,11:30 AM,No. 25 Georgia,NR,"Razorback StadiumFayetteville, AR",JPS,L 738,51162,3,0,50019,1.022851316,False,False,0.0,0.0,0.0,77,45,25,SEC,2000,9,30,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/7/2000,Arkansas,6:00 PM,LouisianaMonroe*,NR,"Razorback StadiumFayetteville, AR",Not on TV,W 526,50947,3,1,50019,1.01855295,False,False,0.0,0.0,0.0,50,28,NR,SEC,2000,10,7,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/4/2000,Arkansas,2:00 PM,Ole Miss,NR,"Razorback StadiumFayetteville, AR (rivalry)",Not on TV,L 2438,49647,4,3,50019,0.992562826,False,False,0.11,0.0,0.0,55,49,NR,SEC,2000,11,4,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/24/2000,Arkansas,1:30 PM,No. 24 LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Golden Boot)",CBS,W 143,43982,5,5,53727,0.818620061,False,False,0.94,0.0,0.0,49,43,24,SEC,2000,11,24,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
8/30/2001,Arkansas,6:30 PM,UNLV*,NR,"War Memorial StadiumLittle Rock, AR",ESPN,W 1410,52213,0,0,53727,0.9718205,False,False,0.0,0.0,0.0,84,63,NR,SEC,2001,8,30,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/6/2001,Arkansas,6:00 PM,Weber State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 4219,52683,1,3,72000,0.731708333,False,False,0.0,0.0,0.0,62,31,NR,SEC,2001,10,6,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/13/2001,Arkansas,2:30 PM,No. 9 South Carolina,NR,"War Memorial StadiumLittle Rock, AR",CBS,W 107,53514,2,3,53727,0.996035513,False,False,0.28,0.0,0.0,62,45,9,SEC,2001,10,13,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
