Team,Capacity
Akron Zips,27881
Alabama Crimson Tide,101821
Appalachian State Mountaineers,30000
Arizona State Sun Devils,53599
Arizona Wildcats,50782
Arkansas Razorbacks,76000
Arkansas State Red Wolves,30382
Auburn Tigers,87451
BYU Cougars,63470
Ball State Cardinals,22500
Baylor Bears,45140
Boise State Broncos,36363
Bowling Green State Falcons,24000
Buffalo Bulls,29013
Cal Golden Bears,63000
Central Michigan Chippewas,30255
Charlotte 49ers,15314
Cincinnati Bearcats,38088
Clemson Tigers,81500
Coastal Carolina Chanticleers,20000
Colorado Buffaloes,50183
Colorado State Rams,36500
Delaware Blue Hens,22000
Duke Blue Devils,40004
East Carolina Pirates,50000
Eastern Michigan Eagles,30200
Florida State Seminoles,79560
Fresno State Bulldogs,40727
Georgia Bulldogs,93033
Georgia State Panthers,24333
Georgia Tech Yellow Jackets,55000
Houston Cougars,40000
Illinois Fighting Illini,60670
Indiana Hoosiers,52626
Iowa Hawkeyes,69250
Iowa State Cyclones,61500
James Madison Dukes,24877
Kansas Jayhawks,51500
Kansas State Wildcats,50000
Kennesaw State Owls,10200
Kent State Golden Flashes,22000
Kentucky Wildcats,63543
LSU Tigers,102321
Liberty Flames,25000
Louisiana Tech Bulldogs,28562
Louisville Cardinals,60800
Marshall Thundering Herd,38016
Maryland Terrapins,51802
Memphis Tigers,58325
Miami (OH) Redhawks,24286
Michigan State Spartans,75005
Michigan Wolverines,107601
Middle Tennessee State Blue Raiders,30788
Minnesota Golden Gophers,50805
Mississippi State Bulldogs,61337
Missouri Tigers,61620
NC State Wolfpack,56919
Navy Midshipmen,34000
Nebraska Cornhuskers,85458
Nevada Wolfpack,30000
New Mexico Lobos,39224
New Mexico State Aggies,28853
North Carolina TarHeels,50500
North Texas Mean Green,30850
Northern Illinois Huskies,23595
Northwestern Wildcats,47130
Notre Dame Fighting Irish,77622
Ohio Bobcats,24000
Ohio State Buckeyes,102780
Oklahoma Sooners,83489
Oklahoma State Cowboys,53855
Old Dominion Monarchs,21944
Ole Miss Rebels,64038
Oregon Ducks,54000
Oregon State Beavers,35548
Penn State Nittany Lions,106572
Pitt Panthers,68400
Purdue Boilermakers,61441
Rice Owls,47000
Rutgers Scarlet Knights,52454
SMU Mustangs,32000
San Jose State Spartans,30456
South Carolina Gamecocks,77559
South Florida Bulls,69218
Southern Miss Golden Eagles,37000
Stanford Cardinal,50424
Syracuse Orange,49057
TCU Horned Frogs,46000
Tennessee Volunteers,101915
Texas A&M Aggies,102733
Texas Longhorns,100119
Texas State Bobcats,30000
Texas Tech Red Raiders,60454
Toledo Rockets,26038
Troy Trojans,30470
Tulane Green Wave,30000
Tulsa Golden Hurricane,30000
UAB Blazers,47100
UCLA Bruins,89702
ULM Warhawks,27617
USC Trojans,77500
UTEP Miners,45971
UTSA Roadrunners,35000
Utah State Aggies,25513
Utah Utes,51444
Vanderbilt Commodores,41000
Virginia Cavaliers,61500
Virginia Tech Hokies,65632
Wake Forest Demon Deacons,31500
Washington Huskies,70138
Washington State Cougars,32952
West Virginia Mountaineers,60000
Western Kentucky Hilltoppers,22113
Western Michigan Broncos,30200
Wisconsin Badgers,75822
Wyoming Cowboys,29181
